addr,area,price
韶山南路828号恒盛世家,天心区,3000
韶山南路828号恒盛世家,天心区,3000
中意二路西中信文化广场（中信新城二期）,天心区,2200
天心暮云镇高云村，万家丽路（火星大道）与芙蓉南路的交汇处,天心区,1800
长沙市天心区金秋小区芙蓉南路368号金秋小区,天心区,3500
芙蓉南路1段418号,天心区,3200
长沙市芙蓉南路四段977号和美星城,天心区,2800
刘家冲路与桂花坪路交汇处,天心区,3000
中意二路西中信文化广场（中信新城二期）,天心区,1800
湘府路与刘家冲路交汇处东北角,天心区,2500
韶山南路828号恒盛世家,天心区,3000
长沙市天心区书香路658号,天心区,1800
湖南省长沙市天心区木莲西路168号,天心区,2400
湘府路与刘家冲路交汇处东北角,天心区,2600
长沙市天心区芙蓉南路一段758号,天心区,2300
湘府路与刘家冲路交汇处东北角,天心区,2300
芙蓉中路三段600号,天心区,3500
湖南省长沙市天心区新姚南路200,天心区,1300
湖南省长沙市天心区木莲西路168号,天心区,2200
天心区南湖路天龙花园,天心区,2000
湖南省长沙市天心区新姚南路200,天心区,1300
新联路与青山路交汇处东南角鑫远逸园,天心区,1400
湘府东路二段99号（湘府路与万家丽路交汇处西南角）,天心区,2000
湘府东路二段99号（湘府路与万家丽路交汇处西南角）,天心区,2300
芙蓉南路59号,天心区,2700
天心湘府中路119号（紧邻省政府、天心区政府）标志长沙商务中心,天心区,1450
湖南省长沙市天心区石碑路,天心区,1700
天心区书院路9号（南湖路和湘江路交汇处东北角）,天心区,2800
长沙市天心区南湖路沙湖新村附45号,天心区,1600
湖南省长沙市天心区天悦和苑(中意二路西310米),天心区,2000
天心区中意路111号,天心区,3200
湖南省长沙市天心区湘江中路二段36号华远国际公寓(近坡子街海信广场太平街),天心区,10000
长沙市天心区湘江中路2段36号,天心区,16000
湘府西路新省政府西边保利花园,天心区,1800
建湘路36号天心城市广场（黄金之城）,天心区,5000
湖南省长沙市天心区竹塘西路228号,天心区,2480
长沙市天心区湘府西路299号,天心区,2100
书院南路258号,天心区,1300
长沙市天心区友谊路318号君临青园花都,天心区,2400
天心区园莫路8号,天心区,3800
长沙市天心区天心芙蓉中路三段418号(芙蓉中路神龙大酒店对面),天心区,6000
雨花区万芙北路439号,天心区,2400
湖南省长沙市天心区竹塘西路378号（铁道学院对面）,天心区,1500
天心区新柠路2号（芙蓉路天虹百货旁）,天心区,2300
长沙市黄土岭路188号,天心区,2600
天心天心区芙蓉中路三段522号巧克力空间（建鸿达现代大厦）,天心区,2200
湖南省长沙市天心区宇辰湘府邻伴(刘家冲中路西50米),天心区,2500
芙蓉南路西向友谊路958号（原1103厂）,天心区,1200
芙蓉南路西向友谊路958号（原1103厂）,天心区,1200
天心区赤岭路长沙理工大学对面白沙花园,天心区,1200
新韶西路1号上庭苑,天心区,2300
书院南路646号,天心区,2900
长沙市天心区环保西路与芙蓉南路交汇处,天心区,2600
湖南省长沙市天心区新姚南路200,天心区,1300
芙蓉中路三段600号,天心区,2300
芙蓉中路三段600号,天心区,1700
天心区新姚北路399号（芙蓉南路铁道学院西门斜对面）博林金谷,天心区,1750
雨花天心区解放四村362号,天心区,2500
天心区新姚北路399号（芙蓉南路铁道学院西门斜对面）博林金谷,天心区,1900
长沙市天心区芙蓉南路369号BOBO天下城,天心区,2500
长沙市天心区新韶东路498号鑫远湘府华城,天心区,2500
长沙市天心区芙蓉南路181号通泰梅岭苑,天心区,3500
长沙市天心区友谊路332号青园小区,天心区,2500
长沙市天心区新韶东路498号鑫远湘府华城,天心区,3500
长沙市天心区竹塘西路180号,天心区,2500
芙蓉南路西向友谊路958号（原1103厂）,天心区,900
长沙市天心区经贸街58号,天心区,2400
湖南省长沙市天心区南湖路与书院路的西南,天心区,3000
湖南省长沙市天心区南湖路51号,天心区,3200
长沙市黄土岭路188号,天心区,2800
湖南省长沙市天心区竹塘西路228号,天心区,2500
长沙市黄土岭路188号,天心区,2200
长沙市黄土岭路188号,天心区,3000
长沙市天心区芙蓉南路二段9号,天心区,1600
长沙理工大学金盆村职工住宅黄土岭正街,天心区,1600
湖南省长沙市天心区新姚南路200,天心区,1300
芙蓉南路二段229号(芙蓉南路与披塘路交汇处东南角),天心区,1300
天心区新姚北路399号（芙蓉南路铁道学院西门斜对面）博林金谷,天心区,2400
长沙市天心区新韶东路498号鑫远湘府华城,天心区,1900
湖南省长沙市天心区新姚南路200,天心区,1400
芙蓉南路二段88,天心区,1600
天心区新姚北路399号（芙蓉南路铁道学院西门斜对面）博林金谷,天心区,2500
天心区新姚北路399号（芙蓉南路铁道学院西门斜对面）博林金谷,天心区,2400
天心区橘洲湾路85号金域南外滩（望江佳园）,天心区,4000
向东南路86号东瓜山三村(东电社区),天心区,2500
友谊路268号万芙锦城,天心区,2950
友谊路268号万芙锦城,天心区,2200
友谊路268号万芙锦城,天心区,2500
友谊路268号万芙锦城,天心区,2800
芙蓉南路长沙理工大学附近,天心区,1400
长沙市天心区劳动西路429号,天心区,2400
芙蓉南路高云路6号怡海星城,天心区,1100
湘府路与刘家冲路交汇处东北角,天心区,2500
长沙市天心区劳动西路429号,天心区,2200
湘府路与刘家冲路交汇处东北角,天心区,1500
芙蓉南路49号,天心区,2800
天心区木莲西路187号天天向上,天心区,2650
芙蓉南路二段88,天心区,1800
长沙市天心区芙蓉南路二段9号,天心区,1350
天心区赤岭路长沙理工大学对面白沙花园,天心区,6000
石人村木莲冲新姚北路208号,天心区,2400
芙蓉中路380号（神农大酒店对面）,天心区,3800
书院南路与新韶西路交汇处东南角(新韶西路369号)钱隆学府,天心区,2300
天心区木莲西路169号(井湾子大润发超市往西100米),天心区,1800
天心区青园路4号,天心区,1700
芙蓉中路380号（神农大酒店对面）,天心区,3800
芙蓉南路二段229号(芙蓉南路与披塘路交汇处东南角),天心区,1800
